registration_date,registration_country,purchase_count,purchase_count_delivery,purchase_count_takeaway,first_purchase_day,last_purchase_day,user_id,breakfast_purchases,lunch_purchases,evening_purchases,dinner_purchases,late_night_purchases,total_purchases_eur,distinct_purchase_venue_count,min_purchase_value_eur,max_purchase_value_eur,avg_purchase_value_eur,preferred_device,ios_purchases,web_purchases,android_purchases,user_has_valid_payment_method,most_common_hour_of_the_day_to_purchase,most_common_weekday_to_purchase,average_delivery_distance_kms,general merchandise,grocery,pet supplies,restaurant,retail store,recencia,frequencia,monetariedade,recencia_score,frequencia_score,monetariedade_score,rfm_score,segmento,categoria_rfm,cluster
2019-09-01,FIN,1,1.0,0.0,2020-09-02,2020-09-02,2,0.0,1.0,0.0,0.0,0.0,38.456,1.0,38.532,38.608,38.456,android,0.0,0.0,1.0,False,23.0,2.0,6.853,0,0,0,1,0,61,1,38.456,4,1,2,41,promissores,otimos_clientes,2
2019-09-01,DNK,19,19.0,0.0,2019-12-10,2020-05-25,3,0.0,4.0,1.0,14.0,0.0,631.488,9.0,20.28,43.688,33.396,android,0.0,19.0,0.0,True,21.0,2.0,6.559,1,9,0,9,0,161,19,631.488,3,5,5,35,parceiros_longa_data,otimos_clientes,1
2019-09-01,FIN,1,1.0,0.0,2020-10-14,2020-10-14,8,0.0,0.0,1.0,0.0,0.0,19.228,1.0,19.266,19.304,19.228,android,0.0,0.0,1.0,True,5.0,1.0,1.251,0,0,0,1,0,19,1,19.228,5,1,1,51,recem_chegados,otimos_clientes,2
2019-09-01,FIN,19,19.0,0.0,2020-04-18,2020-10-27,13,0.0,8.0,0.0,11.0,0.0,587.972,3.0,19.266,47.752,31.372,ios,19.0,0.0,0.0,True,7.0,3.0,3.303,1,9,0,9,0,6,19,587.972,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,2,2.0,0.0,2020-08-21,2020-09-09,14,0.0,1.0,1.0,0.0,0.0,118.404,1.0,57.798,60.96,59.708,ios,0.0,0.0,2.0,False,5.0,6.0,1.382,0,0,0,2,0,54,2,118.404,4,2,4,42,quase_fieis,otimos_clientes,2
2019-09-01,FIN,2,2.0,0.0,2020-05-18,2020-07-06,16,0.0,2.0,0.0,0.0,0.0,107.272,1.0,51.714,56.896,53.636,ios,2.0,0.0,0.0,False,0.0,1.0,4.619,0,0,0,2,0,119,2,107.272,3,2,3,32,quase_inativos,inativos,2
2019-09-01,FIN,7,5.0,2.0,2019-12-05,2020-10-31,17,0.0,5.0,0.0,2.0,0.0,284.372,6.0,22.308,58.928,40.48,android,0.0,0.0,7.0,True,10.0,1.0,4.903,1,3,0,3,0,2,7,284.372,5,4,5,54,aliados_ouro,otimos_clientes,1
2019-09-01,DNK,2,2.0,0.0,2019-09-05,2020-05-16,18,0.0,0.0,0.0,2.0,0.0,116.38,2.0,29.406,86.36,57.684,ios,2.0,0.0,0.0,True,7.0,2.0,8.324,0,0,0,2,0,170,2,116.38,3,2,4,32,quase_inativos,inativos,3
2019-09-01,GRC,3,3.0,0.0,2020-04-26,2020-05-28,21,0.0,1.0,0.0,2.0,0.0,25.3,3.0,8.112,9.144,8.096,ios,3.0,0.0,0.0,True,2.0,7.0,2.956,0,0,0,3,0,158,3,25.3,3,3,1,33,precisam_de_carinho,em_risco,2
2019-09-01,FIN,4,4.0,0.0,2019-10-27,2020-07-08,22,0.0,0.0,0.0,4.0,0.0,109.296,4.0,19.266,36.576,27.324,android,0.0,0.0,4.0,True,1.0,1.0,1.609,0,0,0,4,0,117,4,109.296,3,3,4,33,precisam_de_carinho,em_risco,3
2019-09-01,FIN,1,1.0,0.0,2020-10-24,2020-10-24,23,0.0,0.0,0.0,1.0,0.0,25.3,1.0,25.35,25.4,25.3,ios,1.0,0.0,0.0,True,7.0,5.0,9.408,0,0,0,1,0,9,1,25.3,5,1,1,51,recem_chegados,otimos_clientes,2
2019-09-01,FIN,1,1.0,0.0,2020-10-06,2020-10-06,25,0.0,0.0,1.0,0.0,0.0,14.168,1.0,14.196,14.224,14.168,ios,1.0,0.0,0.0,False,10.0,5.0,7.322,0,0,0,1,0,27,1,14.168,4,1,1,41,promissores,otimos_clientes,2
2019-09-01,FIN,6,6.0,0.0,2020-02-02,2020-10-18,27,0.0,2.0,0.0,4.0,0.0,145.728,2.0,19.266,39.624,24.288,ios,6.0,0.0,0.0,True,0.0,2.0,4.506,0,0,0,3,3,15,6,145.728,5,4,4,54,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,3,3.0,0.0,2020-02-02,2020-10-31,28,0.0,2.0,1.0,0.0,0.0,80.96,3.0,22.308,35.56,27.324,ios,1.0,0.0,2.0,True,6.0,5.0,2.39,0,0,0,3,0,2,3,80.96,5,3,3,53,quase_fieis,otimos_clientes,2
2019-09-01,LVA,33,32.0,1.0,2019-09-13,2020-10-29,32,0.0,7.0,7.0,13.0,0.0,753.94,13.0,7.098,40.64,23.276,ios,33.0,0.0,0.0,True,23.0,2.0,6.747,0,16,1,16,0,4,33,753.94,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,GRC,3,3.0,0.0,2019-09-01,2020-01-17,34,0.0,1.0,0.0,2.0,0.0,56.672,2.0,18.252,19.304,19.228,ios,3.0,0.0,0.0,True,9.0,3.0,10.618,0,0,0,3,0,290,3,56.672,2,3,3,23,em_risco,em_risco,3
2019-09-01,FIN,1,1.0,0.0,2020-10-17,2020-10-17,38,0.0,1.0,0.0,0.0,0.0,64.768,1.0,64.896,65.024,64.768,ios,1.0,0.0,0.0,True,6.0,5.0,7.431,0,0,0,1,0,16,1,64.768,5,1,3,51,recem_chegados,otimos_clientes,2
2019-09-01,FIN,3,3.0,0.0,2019-11-03,2019-11-13,40,0.0,2.0,0.0,1.0,0.0,46.552,2.0,15.21,16.256,15.18,android,0.0,0.0,3.0,True,1.0,3.0,1.566,0,0,0,3,0,355,3,46.552,2,3,2,23,em_risco,em_risco,3
2019-09-01,DNK,1,1.0,0.0,2020-06-15,2020-06-15,42,0.0,1.0,0.0,0.0,0.0,38.456,1.0,38.532,38.608,38.456,ios,1.0,0.0,0.0,False,7.0,4.0,4.55,0,0,0,1,0,140,1,38.456,3,1,2,31,quase_inativos,inativos,2
2019-09-01,GRC,2,2.0,0.0,2020-09-11,2020-09-18,43,0.0,2.0,0.0,0.0,0.0,12.144,2.0,6.084,6.096,6.072,android,2.0,0.0,0.0,False,12.0,2.0,0.271,0,0,0,2,0,45,2,12.144,4,2,1,42,quase_fieis,otimos_clientes,2
2019-09-01,FIN,3,3.0,0.0,2020-01-04,2020-08-22,45,0.0,3.0,0.0,0.0,0.0,113.344,3.0,31.434,41.656,37.444,android,0.0,0.0,3.0,False,23.0,3.0,6.776,0,0,0,3,0,72,3,113.344,4,3,4,43,quase_fieis,otimos_clientes,2
2019-09-01,DNK,1,1.0,0.0,2019-11-05,2019-11-05,46,0.0,1.0,0.0,0.0,0.0,55.66,1.0,55.77,55.88,55.66,web,0.0,1.0,0.0,True,23.0,6.0,8.617,0,0,0,1,0,363,1,55.66,2,1,3,21,adormecidos,inativos,0
2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,49,1.0,0.0,0.0,0.0,0.0,26.312,1.0,26.364,26.416,26.312,web,0.0,1.0,0.0,True,20.0,7.0,7.357,0,0,0,1,0,428,1,26.312,1,1,1,11,adormecidos,inativos,0
2019-09-01,GRC,1,1.0,0.0,2019-09-24,2019-09-24,51,0.0,0.0,0.0,1.0,0.0,9.108,1.0,9.126,9.144,9.108,android,0.0,0.0,1.0,False,10.0,5.0,0.862,0,0,0,1,0,405,1,9.108,1,1,1,11,adormecidos,inativos,0
